"price","accommodates"
412,3
16,2
53,3
353,3
33,2
40,4
250,10
23,2
23,2
292,2
98,6
279,1
20,2
23,4
395,2
401,4
28,4
305,1
389,14
346,3
425,2
412,2
378,1
378,1
378,1
305,2
329,1
338,1
333,3
189,8
71,5
406,2
287,2
99,2
395,2
433,4
38,2
98,6
425,2
412,2
35,5
228,10
305,1
353,1
353,1
213,4
329,3
38,4
250,5
395,2
303,8
41,2
431,2
32,4
371,6
43,3
196,16
13,4
395,2
417,4
402,2
410,2
412,1
63,3
342,2
353,2
422,2
63,6
333,1
287,2
286,6
70,4
88,5
346,1
364,2
378,2
43,5
232,7
410,2
343,11
373,2
403,2
338,2
385,2
23,2
305,1
312,2
332,12
433,2
58,5
312,1
24,2
38,2
298,5
412,1
50,4
33,3
77,2
433,2
318,9
404,4
30,2
116,2
412,1
312,1
140,6
429,3
421,2
410,2
351,2
412,2
353,2
353,2
412,2
391,2
63,2
12,2
250,8
27,4
433,2
412,2
353,1
412,2
402,4
250,8
49,4
385,2
102,5
116,6
364,2
312,1
417,2
433,3
417,3
38,3
351,1
26,4
156,6
45,7
108,5
32,2
433,2
387,2
361,2
44,4
392,2
366,2
19,4
151,2
48,2
404,4
401,4
384,2
420,2
13,2
378,1
225,5
391,2
28,6
17,2
410,3
410,2
144,5
375,2
387,2
35,2
287,2
60,2
73,2
21,4
412,2
395,2
55,8
13,2
33,5
420,2
425,2
380,15
412,2
417,2
402,4
368,12
22,2
423,2
113,6
421,2
28,6
420,2
433,6
392,2
300,5
373,2
209,6
13,2
413,4
119,2
428,4
312,2
412,2
385,2
409,2
165,4
78,4
391,2
38,3
70,2
38,2
104,2
420,3
429,2
116,6
20,4
63,5
403,3
428,3
179,4
326,2
120,4
14,4
16,5
109,4
423,2
52,5
19,2
428,2
29,3
377,2
44,3
50,4
52,3
410,2
13,3
387,1
428,4
420,4
64,4
383,2
151,15
18,6
54,2
23,4
284,8
125,4
70,5
433,2
235,2
282,10
320,2
423,4
408,2
58,4
91,9
23,4
55,4
20,4
342,1
433,4
179,5
57,4
72,4
305,1
48,3
19,4
33,2
116,5
33,5
52,5
361,2
387,4
29,4
31,4
86,4
78,4
395,2
143,5
26,3
39,5
62,4
361,1
78,4
61,4
377,2
262,6
428,2
41,2
402,2
43,4
417,3
357,4
72,4
67,4
412,2
15,4
27,5
43,3
57,2
378,2
403,2
420,4
15,2
300,10
140,6
384,2
413,2
113,4
334,5
49,3
384,2
312,2
116,4
204,4
43,4
378,3
433,2
410,4
395,2
408,2
101,5
429,4
48,2
373,2
342,2
48,4
46,2
176,2
41,4
422,4
428,4
117,4
48,3
27,2
401,3
277,12
428,2
254,6
403,2
402,2
160,2
40,4
391,4
140,8
387,2
33,2
375,2
190,5
31,2
41,5
19,2
165,2
31,1
211,10
23,2
428,4
18,2
408,4
20,4
430,4
429,4
417,2
53,2
414,4
13,4
420,2
384,2
28,4
18,2
17,4
410,3
420,2
189,5
381,1
39,3
19,2
13,2
52,6
40,4
369,4
103,1
413,3
398,2
55,6
48,4
75,4
279,1
398,2
98,6
420,2
83,4
406,4
333,2
384,4
99,9
88,2
425,4
391,2
331,9
58,6
165,4
88,4
13,2
404,3
410,2
41,2
364,2
431,1
100,10
344,10
279,1
403,4
73,2
31,3
408,2
391,4
41,4
42,4
431,4
70,5
178,4
407,12
116,5
34,3
21,3
300,8
351,2
135,4
13,4
425,2
135,5
333,2
422,4
423,6
15,2
53,4
15,2
408,2
35,4
410,2
305,2
375,2
38,2
423,2
433,5
72,2
242,2
140,5
390,5
66,4
338,2
320,3
23,4
353,2
333,2
48,2
58,2
304,10
433,3
38,6
54,3
19,10
378,2
430,2
42,2
329,1
422,2
305,2
39,5
391,3
99,3
421,4
369,3
320,2
428,2
87,4
73,4
38,2
385,3
433,5
412,2
140,6
135,7
32,2
32,4
384,2
34,2
297,4
43,4
48,4
111,6
398,2
402,2
55,4
82,4
395,4
97,2
18,4
242,3
56,4
431,2
394,3
395,2
40,3
403,2
180,6
227,3
235,1
433,3
57,4
48,2
27,5
33,2
23,4
420,4
364,2
18,6
18,3
23,2
398,4
18,3
109,5
363,10
334,5
14,2
361,2
154,5
420,2
35,2
76,5
144,2
18,4
353,4
55,4
395,2
52,4
398,2
13,1
73,5
80,4
355,1
334,3
53,3
41,5
122,6
417,2
63,6
143,4
121,5
60,6
26,3
66,5
122,6
31,2
408,2
106,5
433,6
312,2
378,3
262,5
211,5
249,2
287,2
196,7
18,4
375,2
93,8
428,3
189,6
378,2
130,4
48,2
222,10
148,6
433,4
52,2
40,2
351,2
406,2
366,2
374,5
395,6
26,3
369,1
95,3
19,2
366,1
54,3
329,1
113,2
390,2
54,2
73,4
312,2
412,4
420,2
421,4
92,4
140,6
425,4
219,7
410,2
42,2
186,9
88,6
33,4
312,2
404,2
409,4
151,4
64,5
377,2
43,4
23,3
53,4
14,2
410,3
59,4
428,2
18,2
70,5
18,2
60,3
115,1
420,2
18,6
401,2
15,5
403,2
89,4
312,3
77,2
38,2
410,2
395,2
13,2
420,4
29,4
58,2
48,4
28,4
13,6
112,4
88,5
366,3
154,4
29,4
18,5
433,4
49,3
55,5
334,3
353,3
15,2
417,4
317,2
60,5
63,4
417,4
353,3
431,2
115,1
333,2
402,2
52,4
63,4
206,4
100,9
412,2
188,4
428,5
429,4
431,2
415,4
58,2
366,2
56,8
93,9
394,2
47,2
80,5
412,2
357,3
394,2
48,6
401,4
395,2
189,5
408,2
378,2
64,4
52,3
378,2
423,2
73,5
404,2
361,2
28,3
430,4
430,4
412,4
387,4
329,2
412,2
48,2
16,2
77,2
73,6
387,2
72,4
30,5
42,4
28,4
395,4
67,4
169,6
353,4
24,2
36,2
24,2
86,5
402,2
88,2
43,4
37,6
403,2
81,4
333,4
290,10
428,3
378,2
276,16
35,2
404,2
40,2
17,2
286,8
13,2
34,2
395,2
44,3
393,15
417,2
95,4
25,2
119,2
387,3
361,2
30,4
113,5
85,4
208,5
131,4
43,5
165,5
63,5
402,2
18,2
377,2
88,4
412,3
113,4
228,5
378,2
3,2
413,2
429,2
369,2
403,1
431,2
229,4
58,2
420,4
58,4
23,2
352,11
271,6
417,4
329,2
58,5
412,2
165,6
28,2
383,1
420,4
159,5
373,4
417,3
351,2
412,2
430,4
364,2
211,4
63,5
59,4
273,6
27,4
403,4
115,1
28,2
16,4
46,4
428,5
403,16
428,4
27,4
49,5
387,2
151,4
93,5
403,4
24,2
5,2
395,2
24,3
366,2
264,5
66,2
69,4
412,2
109,6
56,6
353,1
384,2
36,4
412,2
25,2
45,5
130,4
403,4
24,4
428,4
72,9
413,3
378,2
433,2
30,2
214,4
63,4
381,2
150,2
332,5
404,2
366,2
223,9
404,2
415,2
403,4
394,4
395,2
111,2
385,2
86,3
69,4
40,3
77,4
17,2
392,2
257,2
423,4
346,2
369,2
272,1
403,2
297,1
17,5
287,1
45,6
430,4
351,2
387,2
43,6
170,5
351,2
28,6
41,2
312,2
391,2
23,4
401,2
244,10
325,12
32,6
19,5
68,4
58,4
304,6
428,4
308,2
364,4
413,4
123,2
63,4
398,4
387,2
23,2
292,1
163,2
61,2
305,1
366,2
333,2
297,2
165,6
61,4
384,4
395,3
394,2
292,2
18,4
37,4
359,10
375,4
23,4
422,4
60,2
398,2
28,5
91,10
227,1
264,2
375,2
249,1
395,2
84,2
61,4
420,4
74,6
24,2
31,2
403,4
387,2
112,4
113,5
420,4
422,2
15,2
44,4
28,3
143,8
55,4
52,4
63,2
422,2
28,4
235,1
14,2
56,4
106,5
13,2
48,5
25,3
63,5
211,5
38,5
414,2
116,5
430,5
333,2
353,2
58,5
59,4
88,2
88,5
52,3
113,5
17,4
279,3
227,4
425,4
350,16
131,6
415,4
33,6
63,6
415,2
25,4
59,5
45,2
433,4
239,10
204,5
428,4
429,2
326,1
364,2
377,2
16,3
13,2
88,6
431,4
68,2
153,4
38,4
272,1
39,5
122,5
322,9
19,4
33,4
129,2
414,3
45,5
33,4
18,2
13,4
40,5
395,4
39,6
73,4
362,4
48,4
381,1
184,2
425,3
16,4
13,4
78,3
261,6
415,2
417,2
32,4
406,2
417,2
384,2
23,2
19,4
45,4
66,5
369,2
13,4
153,4
150,5
364,2
36,4
378,2
420,4
429,3
43,4
373,2
31,4
53,2
125,5
394,3
404,4
58,4
63,4
414,6
378,4
55,4
32,5
45,2
31,4
357,2
97,4
36,5
13,4
279,1
409,2
28,3
383,1
366,1
95,2
23,2
279,1
391,2
385,3
24,4
79,6
428,2
53,2
20,4
357,2
73,2
88,8
408,4
18,4
425,2
19,2
62,4
385,2
62,5
433,2
420,3
355,2
33,4
392,2
417,3
28,5
13,5
35,4
36,3
33,3
72,3
395,1
163,2
373,2
212,4
14,2
76,4
31,2
93,2
25,4
385,2
403,2
52,4
211,8
21,2
353,3
34,4
43,4
421,2
20,4
24,2
44,4
417,3
52,2
373,2
33,4
43,4
383,2
433,4
29,2
189,7
257,1
48,4
110,6
31,2
165,4
109,2
38,6
415,4
383,4
420,2
146,6
88,4
168,6
90,4
229,8
90,4
135,4
395,4
38,2
353,2
76,4
45,5
414,2
54,4
385,5
433,3
59,2
312,2
32,2
369,2
430,3
34,4
309,4
107,2
38,5
107,5
63,4
52,3
428,2
412,2
33,2
412,2
93,2
97,6
72,4
104,5
97,4
384,2
33,5
107,5
53,5
22,5
20,2
22,4
110,5
33,2
395,2
412,2
40,4
355,4
412,3
423,4
329,2
433,4
247,5
408,2
390,1
31,4
28,4
29,2
40,2
421,2
58,6
16,4
40,4
395,3
15,2
25,4
21,3
32,3
28,2
58,6
33,4
20,2
116,2
35,2
134,12
409,2
395,2
67,6
19,2
79,5
51,2
41,5
21,4
433,4
24,2
429,2
429,4
429,6
41,5
14,2
428,2
381,2
433,2
215,6
361,2
428,4
333,3
107,8
165,6
48,5
107,6
34,2
38,2
166,5
53,3
417,5
106,4
414,2
22,4
116,6
412,4
102,4
154,6
93,4
48,3
102,3
312,2
366,2
53,4
420,2
429,3
233,10
88,5
34,5
52,2
35,5
116,4
366,4
83,6
420,2
34,2
287,1
20,2
15,2
41,4
43,3
60,4
395,4
88,4
421,4
129,4
431,4
26,3
403,2
72,4
88,4
361,2
77,5
109,4
91,2
148,6
169,4
36,4
14,5
33,2
433,4
415,2
357,6
39,3
24,2
13,1
211,6
234,16
15,5
23,5
52,2
387,2
63,6
431,3
33,4
431,2
124,5
428,2
92,5
329,2
149,5
425,4
74,5
40,2
39,4
404,2
29,2
72,5
392,2
433,2
133,4
96,3
84,3
431,4
75,2
68,3
83,3
61,3
78,5
33,2
23,2
28,2
63,2
297,2
192,2
412,2
385,2
38,2
96,2
62,5
13,2
428,2
43,4
77,4
140,4
297,2
421,2
323,10
15,2
433,4
85,5
48,5
381,2
109,2
27,3
52,5
414,2
88,5
292,2
423,4
25,2
422,4
408,2
98,4
186,5
37,4
50,4
402,4
30,2
38,4
63,4
421,4
387,4
433,2
428,2
18,3
29,2
404,2
383,4
32,3
146,5
102,4
210,1
406,3
73,2
312,1
312,1
19,2
63,5
13,4
80,5
13,4
66,4
430,2
43,5
32,3
118,5
395,3
433,2
428,5
392,2
90,5
428,4
42,3
387,2
377,2
430,3
412,2
412,2
385,3
420,4
165,5
88,5
312,2
404,2
413,2
430,4
395,2
413,4
18,4
305,1
364,2
82,6
38,2
412,2
78,4
111,6
413,2
43,2
228,6
166,4
63,6
334,5
18,2
34,2
53,5
55,5
420,2
41,4
337,6
18,4
47,2
425,3
433,4
412,1
392,3
417,1
250,7
35,3
17,3
20,2
13,2
430,4
165,4
413,4
74,5
48,4
165,4
286,8
204,8
162,2
63,2
146,9
116,4
19,3
17,2
15,2
63,2
33,2
143,4
96,4
345,8
377,2
105,8
89,3
38,4
210,1
94,2
94,3
93,4
410,4
181,6
377,2
402,2
366,2
63,4
70,4
320,1
420,2
404,4
408,1
207,4
196,7
417,3
297,2
31,4
25,4
377,2
41,6
33,4
409,4
288,10
420,4
415,2
329,2
423,3
86,4
42,3
47,4
412,4
22,4
22,5
37,6
290,9
417,2
327,10
167,10
13,5
29,4
33,6
408,2
14,2
404,5
13,4
42,3
205,10
13,4
61,3
68,6
32,3
333,2
95,5
85,5
410,2
23,2
112,4
47,4
43,5
111,4
353,3
140,2
395,4
27,3
353,1
27,2
433,4
15,2
53,2
18,4
17,4
431,2
113,5
99,4
210,1
152,7
422,2
409,5
428,2
428,4
321,8
17,3
32,4
404,2
104,4
66,2
25,4
24,2
97,4
116,2
41,2
111,4
375,4
23,7
39,6
48,4
13,2
391,2
405,10
22,4
99,4
63,4
378,3
203,8
22,4
50,4
34,2
45,4
98,4
392,1
88,4
163,4
22,4
385,4
26,4
433,3
35,3
69,4
394,2
210,1
68,4
125,6
428,2
58,4
62,2
135,8
127,4
49,4
66,2
433,2
395,4
128,5
61,4
52,5
305,2
406,2
117,8
63,2
308,2
63,2
420,2
364,2
110,10
13,2
199,8
140,6
113,6
198,8
364,1
99,6
88,7
35,3
378,4
366,2
163,2
162,8
403,2
425,3
385,1
90,4
23,4
212,4
230,8
102,6
38,2
68,2
29,5
38,2
13,2
406,3
61,2
17,2
91,4
423,3
63,2
420,3
430,4
49,5
242,1
429,4
37,5
33,5
385,2
13,6
22,2
422,3
13,2
395,2
32,4
23,4
428,2
13,2
433,4
428,2
56,4
408,4
15,4
88,4
40,4
429,2
13,2
39,2
143,6
361,2
329,2
84,2
412,6
84,4
30,6
290,8
286,12
361,2
218,1
428,4
131,4
433,2
52,6
55,6
24,2
86,5
425,2
395,2
39,4
430,4
392,2
353,2
93,4
346,2
413,4
74,4
24,2
63,6
79,6
109,5
79,4
413,4
13,2
121,5
305,1
333,2
395,4
420,7
329,2
125,4
88,4
149,6
412,2
63,4
431,2
428,2
392,4
239,10
421,2
26,2
25,4
36,5
428,3
13,4
420,4
412,2
38,5
346,4
41,4
399,16
183,6
73,2
15,2
366,1
144,10
420,4
420,4
384,2
412,4
43,4
55,3
28,4
18,2
143,6
31,3
104,10
333,2
79,3
25,3
88,6
24,6
96,4
36,5
223,8
269,8
117,2
420,4
38,5
13,2
14,3
41,4
425,2
417,2
160,6
129,5
88,6
36,5
403,4
333,2
43,2
85,2
178,4
150,5
408,2
78,4
116,6
412,2
144,10
38,4
23,2
35,5
94,2
406,4
16,3
69,1
26,4
55,2
188,15
23,4
305,1
67,4
67,4
13,4
408,2
62,4
422,4
392,2
111,6
58,2
333,2
20,4
14,4
412,3
39,5
421,6
98,5
58,4
423,4
